,ID,device,site_latitude,site_longitude,humidity,temp_mean,SulphurDioxide_SO2_column_number_density,SulphurDioxide_SO2_column_number_density_amf,SulphurDioxide_SO2_slant_column_number_density,SulphurDioxide_cloud_fraction,SulphurDioxide_sensor_azimuth_angle,SulphurDioxide_sensor_zenith_angle,SulphurDioxide_solar_azimuth_angle,SulphurDioxide_solar_zenith_angle,SulphurDioxide_SO2_column_number_density_15km,CarbonMonoxide_CO_column_number_density,CarbonMonoxide_H2O_column_number_density,CarbonMonoxide_cloud_height,CarbonMonoxide_sensor_altitude,NitrogenDioxide_NO2_column_number_density,NitrogenDioxide_tropospheric_NO2_column_number_density,NitrogenDioxide_stratospheric_NO2_column_number_density,NitrogenDioxide_NO2_slant_column_number_density,NitrogenDioxide_tropopause_pressure,NitrogenDioxide_absorbing_aerosol_index,NitrogenDioxide_cloud_fraction,NitrogenDioxide_sensor_altitude,Formaldehyde_tropospheric_HCHO_column_number_density,Formaldehyde_tropospheric_HCHO_column_number_density_amf,Formaldehyde_HCHO_slant_column_number_density,Formaldehyde_cloud_fraction,UvAerosolIndex_absorbing_aerosol_index,UvAerosolIndex_sensor_altitude,Ozone_O3_column_number_density,Ozone_O3_column_number_density_amf,Ozone_O3_slant_column_number_density,Ozone_O3_effective_temperature,Ozone_cloud_fraction
0,ID_UOH62J0XHX,aq_43,0.28904,32.58958,0.7568402777083333,23.8496527775,0.0001244961299943,0.8390536810456196,0.000104461119353,0.0634867759254812,74.43041939786538,35.449778691984335,-101.60026590592464,21.007083524205328,4.866271957012059e-05,0.0252283886075047,2671.965087890919,920.781372070414,829482.8125000914,6.540331887367533e-05,3.195564477617092e-05,3.3447677663144526e-05,0.0001059420556528,9580.235792654585,-2.5122127806492243,0.0654541622844255,829501.5935970581,4.660224913010896e-05,1.0087124503837257,-1.88928482515241e-05,0.0634867759254812,-2.512213949038178,829501.5935970581,0.1214369942199579,2.309439335013705,0.2866050911755649,230.7437722617317,0.0609960802634357
1,ID_4OPWSB0UHJ,aq_54,0.3564,32.573,0.8108541667083333,22.0753472225,0.0001686278572335,0.8047587474402539,0.0001344791813942,0.1721503312725934,-99.06440752797263,44.22117927915652,-112.6460300748206,35.14805180380209,2.59797345261239e-05,0.0359667986631377,3406.161865234221,2645.57470703113,829876.3124999624,5.19004564539441e-05,1.890845977606959e-05,3.336145270633609e-05,0.0001272802100127,9258.528425911189,-1.0865628135344103,0.1661993646246999,829919.5518492118,0.000211291801528,0.9464813969810212,0.0001425689680846,0.4120906929210474,-0.5353169441223734,829921.8125000914,0.1123895272612695,3.441850423813245,0.3892001807690095,224.80880737307163,0.4506226480007668
2,ID_3SLMNNG1Z3,aq_59,0.3815760000000001,32.647109,0.8832534721666666,20.050694445,-0.0001112603533936,0.8896434880570437,-0.0001131198615423,0.2256088081743013,-98.28267468853257,52.68526254935259,-115.03636065785922,37.75243272028484,-4.531362449117079e-05,0.0329505649140583,2579.5340427528254,2805.0995055858684,829873.5531335113,5.935340779122111e-05,2.506971220993822e-05,3.42836977618099e-05,0.0001385395138682,9386.948724475742,-1.478673172197318,0.1258324689041584,829911.8319855361,0.0002360455837333,0.935209035873516,0.0001648244942771,0.3707308769226483,-1.253812074661393,829912.5625000914,0.1161820217967161,3.1213064193729023,0.3667427897453712,232.47073364260373,0.3714571595192364
3,ID_MFUHTXYPM4,AW66FF7V,0.3795623000000001,32.553714,0.7825833332916666,22.24895833416667,0.0001759565784596,0.7308534383774609,0.0001285984762944,0.085770353674898,75.36161041259766,24.83605194091797,-72.22428894042969,20.67525100708008,6.383282743627909e-05,0.0481588505208545,2060.898681640852,971.7987670899508,829539.3750000914,5.822293314850599e-05,2.503109863028206e-05,3.319183451822393e-05,0.0001079525682143,8613.721632790857,-2.0676681995394124,0.0604938641190595,829558.8750000914,0.0002432272594888,1.0249408483506377,0.000185024458915,0.085770353674898,-2.0676660537722005,829558.8750000914,0.1193516701460016,2.196583747864012,0.2664145827293689,227.63436889650944,0.076711937785157
4,ID_TY1DAND8ZP,aq_45,0.344,32.553,0.7701159420434783,22.56521739173913,-8.836576679661351e-05,0.6746646009733392,-6.196185686607687e-05,0.1091682501256686,76.54948004819298,10.894769168285896,-138.97947506315015,32.01732154007886,-1.6712457496545393e-05,0.0344613750532493,2518.63204881197,2012.7413574245795,829652.6334922534,7.604046576758776e-05,5.020505706173618e-05,3.114403353578187e-05,0.0001061985712859,8807.044923499367,-2.4674899462369457,0.1088100904553992,829669.1198374701,0.0001795637296778,1.094497132889873,0.0001364379482914,0.4102919282672326,-1.834847515519577,829664.7499993176,0.1163877736226419,2.209532168648682,0.2608486152956552,222.18054350033304,0.5792724871449055
5,ID_1G270NSQ7O,aq_45,0.344,32.553,0.8788506944583333,20.66875,-7.855321694110637e-05,0.7886164473438918,-6.141389527836304e-05,0.1263300631798545,72.20102395199055,56.97702697763423,-135.3468408893181,23.84218202878117,-2.441842789386757e-05,0.0328838676214225,2783.811767578184,3881.978759765708,829329.0625000177,5.85769552511292e-05,2.5697127604070527e-05,3.2879827771817056e-05,0.0001305952774936,9580.253918495891,-3.0548650218495164,0.0899838096729571,829355.7706817646,0.0002941293326727,1.1282630595377503,0.0002711693891422,0.1263300631798545,-1.2795085906976729,829355.749999631,0.1139314621686428,2.949694156645416,0.3435491919515988,226.21417236318047,0.9903736710543994
6,ID_OLV7RAEKGP,aq_61,0.373078,32.628226,0.9722420634285714,18.25,6.749699471068018e-05,0.7793103886363342,5.625786532003735e-05,0.2248151705616753,73.91792675697577,40.34878108016714,-100.8148750241266,20.92308560085564,1.846860383098759e-05,0.0329965306468722,2748.797449949082,3115.0619938465848,829413.4905318384,4.35542088427878e-05,1.1958104697309604e-05,3.184817143823521e-05,0.0001006100202048,8837.230261991104,-2.5237543478354167,0.1278292526799749,829615.6036273137,0.0001163529555334,1.2864312183433009,6.929081720359807e-05,0.3369642742721416,-1.8383504347340045,829373.5226416884,0.1201782847990131,2.724541094543505,0.3332125436117789,231.35475655434223,0.7106415932095945
7,ID_2JQD8OKWXK,AY2J2Q7Z,0.3075842,32.5670775,0.8076180555,22.55069444458333,-3.0428628758673972e-05,0.6849124003911946,-2.142068654236549e-05,0.0867914873420984,76.56675624936175,10.690445677005249,-138.93294073180897,32.02438126471277,1.4386988662272742e-06,0.0307533848561509,2671.2138598551246,3391.8360352662376,829660.1210546892,6.360304182825385e-05,3.654304951519656e-05,3.1433593946124985e-05,9.692698058945482e-05,8613.733852769386,-2.4115539951368072,0.0810771721442161,829675.1540086601,9.175784795087156e-05,1.004251806430938,1.918306091980819e-05,0.2759376468395284,-2.0237429142006813,829676.2500003492,0.1214127391577278,2.129185438157024,0.2619240880013614,229.24270629892465,0.6450203657152984
8,ID_3PC4T4W9JW,AB6051M4,0.3907412,32.5822574,0.821177083375,22.651041667083334,-0.0005119410131577,0.7877085469031816,-0.0004196982987924,0.1520222580104727,71.17007957574012,66.14691588860998,-158.5479138780699,25.43313572250012,-0.0001448560587316,0.0351792373627741,3162.0011303805104,2908.321074628803,829214.4550448935,7.46983379909689e-05,4.505460167071863e-05,2.964373401068561e-05,0.0001528269108508,9580.222731204629,-1.54057432352075,0.091124443803218,829232.513410138,7.85142376391042e-05,1.2216829395476962,3.0471350576715045e-05,0.1520222580104727,-2.001159373231085,829232.7904270045,0.1200179222069818,3.1257466430613845,0.3814878978851256,228.0169763503185,0.7470684600416954
9,ID_TYK7E1D8DN,aq_36,0.354825,32.67781,0.864807291625,20.35625,0.0001215447258597,0.7323670459093886,8.13446090664738e-05,0.1768498399245297,-81.35261400990623,42.55163725263674,-109.76335642980106,34.18159176657065,7.870827519224859e-06,0.0377462588852784,3464.745765892445,3288.256142135613,829878.4251629509,5.7436821756283344e-05,2.247565974418782e-05,3.4190407765457064e-05,0.0001287061044592,9548.488246732337,-1.4247642805502057,0.143486645961767,829915.8339693965,0.0002054631939641,0.9575055221156604,0.0001387720304321,0.4185291475824039,-0.4142860174179533,829930.6875000914,0.1138177588582164,3.454554080963516,0.3963690102100808,225.4542388916264,0.5667940378189711
